"","SAN.PA.Open","SAN.PA.High","SAN.PA.Low","SAN.PA.Close","SAN.PA.Volume","SAN.PA.Adjusted"
"1",89.1131744384766,90.5552978515625,89.0932846069336,89.7298049926758,1720684,71.409309387207
"2",89.6303482055664,90.4160537719727,89.192741394043,90.2867660522461,1534465,71.8525466918945
"3",91.0028533935547,91.4802398681641,90.1873092651367,90.8536682128906,2356637,72.3037033081055
"4",91.311164855957,91.5001373291016,90.2569274902344,90.5354080200195,1975503,72.050422668457
"5",90.0580139160156,90.9133377075195,89.988395690918,90.8437194824219,1718950,72.2957916259766
"6",91.748779296875,92.0372009277344,91.3211135864258,91.5001373291016,1962451,72.8181838989258
"7",91.4404602050781,92.8229064941406,91.2514953613281,92.2162246704102,1987773,73.3880615234375
"8",92.2957916259766,92.8328552246094,91.2216567993164,91.5697555541992,1930831,72.8735809326172
"9",91.4901885986328,91.6493225097656,90.157470703125,90.7741012573242,2267843,72.2403869628906
"10",90.8735580444336,91.5498657226562,90.6945343017578,91.2216567993164,2587479,72.5965576171875
"11",91.4305114746094,91.748779296875,90.8337783813477,91.1122512817383,1833428,72.5094909667969
"12",91.2415466308594,92.2460556030273,91.2216567993164,91.6891021728516,1951691,72.9685668945312
"13",91.5100784301758,91.8681259155273,90.953125,91.4006805419922,1190048,72.7390289306641
"14",91.3012237548828,91.3012237548828,89.988395690918,90.8636093139648,1752451,72.3116149902344
"15",90.0082855224609,90.4061126708984,88.3473587036133,88.3871383666992,2754590,70.3407745361328
"16",88.0887680053711,89.3319778442383,87.9793701171875,88.7252960205078,2398642,70.6098937988281
"17",89.2623596191406,89.8491516113281,88.586051940918,88.6258392333984,2104257,70.5307464599609
"18",87.5417556762695,88.0390396118164,86.1394195556641,86.2289276123047,2948618,68.6232147216797
"19",86.8356170654297,87.601432800293,86.4377899169922,87.1936645507812,1908382,69.390983581543
"20",86.954963684082,88.4169769287109,86.8256683349609,88.1882247924805,1981271,70.1824722290039
"21",87.5218658447266,87.58154296875,86.765998840332,87.3826293945312,2071542,69.5413589477539
"22",87.1837158203125,87.750617980957,86.4775695800781,86.4775695800781,2429293,68.8210906982422
"23",86.9848022460938,88.0290985107422,86.8256683349609,87.1240386962891,2312016,69.335563659668
"24",87.0544204711914,88.1384963989258,87.0245819091797,88.0788269042969,2039049,70.0954055786133
"25",87.58154296875,89.7496948242188,87.4721374511719,89.4413833618164,2968593,71.1797790527344
"26",91.2315979003906,93.1908950805664,91.0127944946289,93.1411666870117,3419900,74.1241607666016
"27",94.0860061645508,94.3048095703125,92.7930679321289,93.0715484619141,2211348,74.0687484741211
"28",92.4946975708008,93.1013870239258,91.6990509033203,92.9621505737305,1591271,73.981689453125
"29",93.4096984863281,93.5787811279297,92.6637802124023,93.4196472167969,2024441,74.3457794189453
"30",92.9820404052734,93.0616073608398,92.1366577148438,92.4250793457031,2027980,73.5542831420898
"31",92.0372009277344,92.5145950317383,91.0227432250977,91.8780670166016,1908002,73.1189498901367
"32",91.4702987670898,92.4847564697266,91.1918182373047,91.7388305664062,1480195,73.0081329345703
"33",91.937744140625,92.0769805908203,91.4305114746094,91.8084487915039,1210458,73.0635528564453
"34",91.3310546875,93.6384506225586,91.1023101806641,93.2008438110352,2520236,74.1716384887695
"35",94.1954116821289,94.5435104370117,93.2306823730469,93.4892654418945,2248487,74.4011840820312
"36",93.1212768554688,93.887092590332,92.5543746948242,92.9919815063477,2009437,74.0054321289062
"37",92.753288269043,93.1809539794922,91.7885589599609,92.8229064941406,2149689,73.8708724975586
"38",91.9079055786133,92.0471496582031,89.8093719482422,91.0724716186523,3892612,72.4778442382812
"39",92.9919815063477,92.9919815063477,89.7298049926758,89.9486083984375,2923603,71.5834350585938
"40",89.9486083984375,90.4160537719727,87.5715942382812,90.4061126708984,3848891,71.9475250244141
"41",89.8093719482422,90.0281753540039,86.8555068969727,87.9594802856445,4655936,70.0004348754883
"42",85.9305572509766,85.9305572509766,82.0517501831055,83.4739837646484,7180784,66.4307479858398
"43",84.8763198852539,86.1692581176758,83.1557235717773,85.1249618530273,4361305,67.7446517944336
"44",86.5272979736328,88.208122253418,85.1846389770508,85.6222457885742,3666181,68.1404037475586
"45",85.9603958129883,89.0932846069336,85.4034423828125,89.0932846069336,3769600,70.9027481079102
"46",89.5209503173828,89.6502380371094,87.750617980957,88.9838790893555,3107662,70.8156814575195
"47",87.8699645996094,88.4070281982422,84.3193664550781,84.5978393554688,3737172,67.3251495361328
"48",79.5653305053711,81.9522933959961,78.2027816772461,79.4957122802734,6618575,63.2647514343262
"49",80.8980560302734,81.5843048095703,77.5960922241211,77.9441909790039,5704765,62.0300064086914
"50",80.4107131958008,81.0174026489258,78.1331558227539,79.1973419189453,5184129,63.0273017883301
"51",75.49755859375,77.5563125610352,70.7932586669922,73.0409774780273,8315075,58.1279067993164
"52",75.2290267944336,78.0436477661133,70.9722747802734,73.0111389160156,7204293,58.1041564941406
"53",70.0771713256836,77.0789184570312,67.2824325561523,76.1838073730469,8477611,60.6290473937988
"54",79.5653305053711,80.4107131958008,72.2652130126953,78.0237579345703,5986774,62.093334197998
"55",75.9948425292969,77.2082138061523,71.1115188598633,75.6865234375,6411046,60.2332992553711
"56",76.5716857910156,80.6593551635742,71.6088027954102,75.4677200317383,6721298,60.0591697692871
"57",78.1530456542969,80.5201187133789,72.2154846191406,73.4487457275391,6971606,58.4524154663086
"58",71.6088027954102,74.3140182495117,69.5102615356445,71.6585311889648,5204716,57.027717590332
