"","FCHI.Open","FCHI.High","FCHI.Low","FCHI.Close","FCHI.Volume","FCHI.Adjusted"
"167",4991.6298828125,5050.10009765625,4977.93994140625,5048.43017578125,49317700,5048.43017578125
"168",5052.259765625,5052.259765625,5005.4599609375,5015.97021484375,67454700,5015.97021484375
"169",5031.31005859375,5031.52978515625,4970.64013671875,5002.93994140625,71208000,5002.93994140625
"170",5041.33984375,5067.5498046875,4942.18017578125,4947.22021484375,97432500,4947.22021484375
"171",4974.419921875,4993.56005859375,4892.830078125,4938.10009765625,91322100,4938.10009765625
"172",4969.6201171875,5062.009765625,4959.64013671875,5031.740234375,86998900,5031.740234375
"173",5074.64013671875,5131.39013671875,4982.33984375,5009.52001953125,93616800,5009.52001953125
"174",4974.68994140625,5068.8798828125,4928.7900390625,4965.06982421875,108586000,4965.06982421875
"175",4979.8701171875,5064.64013671875,4979.8701171875,5053.72021484375,61686000,5053.72021484375
"176",5052.8798828125,5061.60009765625,4935.3798828125,4973.52001953125,85589800,4973.52001953125
"177",4980.4599609375,5058.35009765625,4973.35986328125,5042.97998046875,86318500,5042.97998046875
"178",5039.47998046875,5062.89013671875,5005.83984375,5023.93017578125,70699400,5023.93017578125
"179",5014.97021484375,5053.6298828125,4997.85986328125,5034.14013671875,70572900,5034.14013671875
"180",5071.8701171875,5087.52001953125,5034.91015625,5051.8798828125,57540800,5051.8798828125
"181",5056.89990234375,5087.990234375,5035.10009765625,5067.93017578125,79316700,5067.93017578125
"182",5065.75,5091.52001953125,5029.56005859375,5074.419921875,81456400,5074.419921875
"183",5005.89013671875,5053.31982421875,4995.64990234375,5039.5,85821100,5039.5
"184",5035.93994140625,5041.330078125,4978.18017578125,4978.18017578125,279158000,4978.18017578125
"185",4949.759765625,4949.759765625,4779.2099609375,4792.0400390625,128894100,4792.0400390625
"186",4809.56982421875,4827,4772.83984375,4772.83984375,92909500,4772.83984375
"187",4824.169921875,4871.4501953125,4802.259765625,4802.259765625,86947200,4802.259765625
"188",4746.10009765625,4806.830078125,4744.0400390625,4762.6201171875,97836800,4762.6201171875
"189",4754.81005859375,4758.0498046875,4666.259765625,4729.66015625,96957900,4729.66015625
"190",4806.14013671875,4849.97021484375,4788.18017578125,4843.27001953125,96864500,4843.27001953125
"191",4832.8701171875,4846.6298828125,4806.4501953125,4832.06982421875,73788000,4832.06982421875
"192",4793.18994140625,4854.02001953125,4782.68994140625,4803.43994140625,98788900,4803.43994140625
"193",4850.2001953125,4871.830078125,4804.77001953125,4824.0400390625,90319600,4824.0400390625
"194",4769.43017578125,4824.8798828125,4757.22021484375,4824.8798828125,78027700,4824.8798828125
"195",4863.6298828125,4876.85986328125,4842.259765625,4871.8701171875,73984600,4871.8701171875
"196",4881.7998046875,4925.7099609375,4850.35986328125,4895.4599609375,88768400,4895.4599609375
"197",4888.490234375,4915.6298828125,4865.259765625,4882,90531200,4882
"198",4910.490234375,4936.0400390625,4877.10009765625,4911.93994140625,76900000,4911.93994140625
"199",4925.41015625,4954.02001953125,4918.06005859375,4946.81005859375,82326900,4946.81005859375
"200",4952.47021484375,4998.509765625,4944,4979.2900390625,74090900,4979.2900390625
"201",4976.27978515625,4976.580078125,4928.64013671875,4947.60986328125,81146200,4947.60986328125
"202",4956.68994140625,4965.31982421875,4928.43017578125,4941.66015625,71558400,4941.66015625
"203",4873.02978515625,4881.31005859375,4808.580078125,4837.419921875,106038500,4837.419921875
"204",4904.10009765625,4957.60009765625,4875.759765625,4935.85986328125,103413300,4935.85986328125
"205",4955.39013671875,4993.39013671875,4881.4599609375,4942.6201171875,44905900,4942.6201171875
"206",4932.8701171875,4968.60986328125,4914.490234375,4929.27978515625,89484700,4929.27978515625
"207",4945.330078125,4945.330078125,4849.009765625,4853.9501953125,77277800,4853.9501953125
"208",4830.43994140625,4873.89990234375,4783.64990234375,4851.3798828125,89673900,4851.3798828125
"209",4843.27978515625,4934.7099609375,4843.14013671875,4909.64013671875,80388100,4909.64013671875
