"","BNP.PA.Open","BNP.PA.High","BNP.PA.Low","BNP.PA.Close","BNP.PA.Volume","BNP.PA.Adjusted"
"1",53.2000007629395,54,53.1800003051758,53.5800018310547,2783637,37.8743362426758
"2",53.0699996948242,53.1699981689453,52.5900001525879,52.939998626709,2535225,37.4219398498535
"3",52.0400009155273,52.7000007629395,51.6399993896484,52.6800003051758,2494787,37.238151550293
"4",52.9300003051758,53.1399993896484,52.4599990844727,52.6599998474121,2022813,37.2240142822266
"5",52.2700004577637,53.0200004577637,52.0099983215332,52.7799987792969,2893097,37.308837890625
"6",53.2900009155273,53.3899993896484,52.2200012207031,52.4000015258789,3207565,37.040225982666
"7",52.4700012207031,52.6100006103516,52.0099983215332,52.1599998474121,2495036,36.8705749511719
"8",52.1199989318848,52.310001373291,51.5999984741211,51.9300003051758,2858479,36.7079963684082
"9",52.0900001525879,52.2999992370605,51.2599983215332,52.1699981689453,3294787,36.8776435852051
"10",52.1100006103516,52.2799987792969,50.810001373291,50.9599990844727,3230881,36.0223236083984
"11",51,51.3400001525879,50.2200012207031,50.5900001525879,3309337,35.7607803344727
"12",50.9199981689453,51.060001373291,50.4300003051758,50.75,2954093,35.8738822937012
"13",50.689998626709,50.7799987792969,50.3800010681152,50.4900016784668,1776051,35.6900978088379
"14",50.189998626709,50.6300010681152,49.8699989318848,50.2099990844727,2847578,35.4921760559082
"15",50.25,50.5800018310547,49.9000015258789,50.0800018310547,2939696,35.400276184082
"16",50.2299995422363,50.4799995422363,49.564998626709,49.9550018310547,4186551,35.3119201660156
"17",50.6699981689453,50.75,49.8499984741211,49.9099998474121,3186013,35.2801055908203
"18",49.5099983215332,49.7799987792969,48.6949996948242,48.8699989318848,4716090,34.5449562072754
"19",49.1100006103516,49.7050018310547,48.5449981689453,49.4199981689453,3074687,34.9337387084961
"20",49.685001373291,49.9000015258789,49.2849998474121,49.5050010681152,2413393,34.993824005127
"21",48.7999992370605,49.1949996948242,48.4550018310547,48.8899993896484,3404856,34.5590934753418
"22",49.2999992370605,49.2999992370605,47.9700012207031,48.0449981689453,4461448,33.961784362793
"23",48.1100006103516,48.7350006103516,47.9099998474121,48.3400001525879,3293745,34.1703147888184
"24",48.7150001525879,49.2900009155273,48.5800018310547,49.2900009155273,3725725,34.8418426513672
"25",49.3499984741211,50.2000007629395,48.814998626709,49.6100006103516,3809870,35.0680503845215
"26",50.1599998474121,50.689998626709,50.0800018310547,50.4099998474121,3883717,35.6335487365723
"27",50.4500007629395,51.8300018310547,50.2599983215332,51.8300018310547,4629252,36.6373138427734
"28",51.5900001525879,51.8199996948242,51.4099998474121,51.6399993896484,3595939,36.5029945373535
"29",52.1800003051758,52.7799987792969,51.9000015258789,52.7299995422363,3683036,37.2734909057617
"30",52.7799987792969,53.689998626709,52.7400016784668,53.5800018310547,4311939,37.8743362426758
"31",53.3199996948242,53.5800018310547,52.7900009155273,53.5699996948242,3528208,37.8672714233398
"32",53.5699996948242,53.9900016784668,53.439998626709,53.6800003051758,2896124,37.9450225830078
"33",53.7900009155273,54.2200012207031,53.689998626709,54.1800003051758,2154079,38.2984619140625
"34",53.8199996948242,54.0299987792969,53.6199989318848,53.6699981689453,3238319,37.9379539489746
"35",53.9300003051758,54.0800018310547,53.560001373291,53.75,2736048,37.9945030212402
"36",53.6100006103516,53.8800010681152,53.0900001525879,53.2599983215332,3453029,37.6481323242188
"37",53,53.439998626709,52.7200012207031,53.2200012207031,4704745,37.6198654174805
"38",51.6500015258789,52.0200004577637,50.9599990844727,51.2000007629395,8375558,36.1919784545898
"39",51.4900016784668,51.5,48.7000007629395,48.7000007629395,9064145,34.4247932434082
"40",48.2000007629395,48.4900016784668,47.1049995422363,48.2150001525879,9987467,34.0819549560547
"41",47.2550010681152,47.2550010681152,44.9249992370605,45.3849983215332,12715472,32.0814971923828
"42",43.6500015258789,44.2400016784668,42.5499992370605,43.7849998474121,11414189,30.9504985809326
"43",44.6500015258789,44.6549987792969,41.8600006103516,43.4550018310547,9760643,30.7172336578369
"44",44.8950004577637,44.8950004577637,42.375,42.810001373291,10183476,30.2612991333008
"45",42.9000015258789,43.0699996948242,42,42.25,8378905,29.8654518127441
"46",42.5800018310547,42.7599983215332,40.060001373291,40.5149993896484,9912621,28.6390171051025
"47",39.5050010681152,39.9249992370605,37.8849983215332,38.5149993896484,10830096,27.2252731323242
"48",34.25,35.7299995422363,33.7849998474121,33.7849998474121,15285280,23.8817539215088
"49",34.5250015258789,37.2849998474121,33.7350006103516,34.6300010681152,15219866,24.4790649414062
"50",35.2999992370605,36.9199981689453,34.8650016784668,35.6599998474121,9873471,25.2071475982666
"51",33.1150016784668,34.2050018310547,30.4750003814697,31,19034340,21.9131107330322
"52",32.3600006103516,34.9850006103516,31.0750007629395,31.7299995422363,11707060,22.4291286468506
"53",29.5599994659424,30.4449996948242,26.4750003814697,27.4400005340576,12726489,19.3966369628906
"54",28.7849998474121,29.4200000762939,26.0699996948242,29.2000007629395,9688197,20.6407375335693
"55",28.2700004577637,28.7450008392334,26.3099994659424,26.3999996185303,9362461,18.6614894866943
"56",27.5599994659424,28.0149993896484,25.1000003814697,27.1849994659424,8956394,19.2163848876953
"57",28,28.8950004577637,27.1849994659424,27.4400005340576,12822483,19.3966369628906
"58",25.8999996185303,26.8999996185303,25.1499996185303,25.4249992370605,10576950,17.9722862243652
"59",27.5,27.7800006866455,26.1350002288818,27.7800006866455,10496527,19.6369762420654
"60",28.8999996185303,30.1550006866455,28,30,10369508,21.2062377929688
