"","RNO.PA.Open","RNO.PA.High","RNO.PA.Low","RNO.PA.Close","RNO.PA.Volume","RNO.PA.Adjusted"
"1",42.7299995422363,43,41.689998626709,41.9000015258789,1200455,38.1654357910156
"2",41.75,41.7700004577637,40.7400016784668,41.2200012207031,1279579,37.5460395812988
"3",41,41.3499984741211,40.2000007629395,41.3499984741211,1485689,37.6644477844238
"4",41.6500015258789,42.8349990844727,41.3600006103516,42.810001373291,1590348,38.9943237304688
"5",42.9949989318848,43.3650016784668,42.4049987792969,42.6349983215332,1388072,38.8349189758301
"6",42.5,42.9049987792969,41.9599990844727,42.0750007629395,1209456,38.3248291015625
"7",42.2249984741211,42.2449989318848,41.3849983215332,41.8400001525879,954461,38.1107788085938
"8",41.4199981689453,41.4199981689453,40.1599998474121,40.6599998474121,2183479,37.0359535217285
"9",41.1650009155273,41.2900009155273,40.2999992370605,40.5,1702195,36.8902130126953
"10",40.5999984741211,40.7799987792969,40,40,1466596,36.4347801208496
"11",40,40.4550018310547,39.0149993896484,39.5349998474121,1608533,36.0112228393555
"12",39.7900009155273,40.6650009155273,39.2599983215332,39.2599983215332,1493058,35.7607345581055
"13",39.2750015258789,39.7750015258789,39.0750007629395,39.5950012207031,711449,36.0658760070801
"14",39.2799987792969,39.625,39.0299987792969,39.2849998474121,987348,35.7835083007812
"15",39.3899993896484,39.7649993896484,38.7750015258789,38.9550018310547,1133709,35.4829254150391
"16",37.6800003051758,38,36.5999984741211,36.9850006103516,3322142,33.6885070800781
"17",37.4000015258789,37.4449996948242,35.7400016784668,36.2700004577637,3027994,33.0372352600098
"18",35.9550018310547,35.9550018310547,34.7599983215332,35.0999984741211,2659428,31.9715156555176
"19",35.2949981689453,35.6650009155273,34.5050010681152,35.5550003051758,1711003,32.3859672546387
"20",35.8950004577637,36.5499992370605,35.4749984741211,36.1450004577637,2185606,32.9233779907227
"21",35.7999992370605,36.0550003051758,35.4300003051758,35.5800018310547,1329460,32.4087371826172
"22",35.689998626709,35.7849998474121,35.185001373291,35.2449989318848,1450521,32.1035919189453
"23",35.2449989318848,35.3450012207031,34.6800003051758,34.8549995422363,1418371,31.7483539581299
"24",34.9949989318848,35.2249984741211,34.7599983215332,34.810001373291,1360755,31.7073650360107
"25",34.7999992370605,35.4949989318848,34.5250015258789,34.9449996948242,2134148,31.8303337097168
"26",35.3300018310547,36.7799987792969,35.2150001525879,36.0900001525879,2088033,32.8732795715332
"27",36.0699996948242,36.0699996948242,34.8050003051758,35.0550003051758,1735661,31.9305286407471
"28",35,35.3650016784668,34.1199989318848,34.3699989318848,1574475,31.3065814971924
"29",34.7150001525879,35.2400016784668,33.560001373291,34.0999984741211,1850590,31.0606479644775
"30",34.0750007629395,34.875,33.9599990844727,34.8050003051758,2285298,31.7028121948242
"31",34.5,34.8199996948242,33.4749984741211,34.814998626709,2733892,31.7119216918945
"32",33.75,36.2099990844727,33.1699981689453,34.5,5356936,31.4249973297119
"33",34.7299995422363,35.3300018310547,32.9099998474121,33.0299987792969,3950949,30.0860176086426
"34",32.5099983215332,32.7999992370605,30.8999996185303,30.9449996948242,4617724,28.1868553161621
"35",30.9400005340576,31.8600006103516,30.1599998474121,31.7150001525879,4528431,28.8882255554199
"36",31.5900001525879,33.0050010681152,31.2199993133545,32.6599998474121,3284420,29.7489967346191
"37",32.4850006103516,32.7900009155273,31.3199996948242,31.6849994659424,2212207,28.8608989715576
"38",30.75,30.9349994659424,29.3099994659424,29.5849990844727,3580073,26.9480724334717
"39",29.7299995422363,29.9449996948242,28.5349998474121,28.7350006103516,2552141,26.1738338470459
"40",28.5,29.6849994659424,28.1399993896484,29.0849990844727,3868151,26.492639541626
"41",28.3549995422363,28.5949993133545,27.0200004577637,27.2299995422363,3496946,24.8029747009277
"42",26.0049991607666,26.6949996948242,25.2250003814697,26.4950008392334,4424368,24.133487701416
"43",26.9599990844727,27,25.1399993896484,25.6399993896484,3164206,23.3546905517578
"44",26,26.2099990844727,24.7700004577637,25.0400009155273,4047839,22.8081722259521
"45",25.1900005340576,25.4850006103516,24.7450008392334,25.0599994659424,2336167,22.8263874053955
"46",25.3400001525879,25.3400001525879,23.1000003814697,23.1650009155273,3663884,21.1002922058105
"47",22.5349998474121,23.6450004577637,21.9650001525879,23.3999996185303,4855200,21.3143463134766
"48",21.0550003051758,21.0699996948242,19.6599998474121,19.6599998474121,4591776,17.907693862915
"49",20.3549995422363,22.1749992370605,19.8500003814697,20.2199993133545,5820733,18.4177799224854
"50",20.9200000762939,21.8600006103516,20.4500007629395,20.9150009155273,3879789,19.0508365631104
"51",20,20.1749992370605,16.326000213623,16.326000213623,5971586,14.8708553314209
"52",17.6919994354248,18.7479991912842,16.2779998779297,16.7000007629395,5553592,15.2115201950073
"53",15.7580003738403,16,12.7700004577637,14.5500001907349,7528370,13.2531509399414
"54",15.3999996185303,16.6200008392334,14.5019998550415,15.9899997711182,4590776,14.5648021697998
"55",16,16.4780006408691,14.7679996490479,15.0920000076294,3193883,13.7468423843384
"56",15.25,16.1879997253418,14.7200002670288,15.4160003662109,2954844,14.0419635772705
"57",16.3759994506836,16.7000007629395,15.5659999847412,16.1499996185303,8149975,14.7105417251587
"58",16,16.0960006713867,14.7200002670288,15.28600025177,3480402,13.9235506057739
"59",15.9840002059937,17.9659996032715,15.7700004577637,17.9659996032715,3174682,16.3646812438965
"60",18.8659992218018,19.4599990844727,17.0179996490479,18.3099994659424,3443718,16.6780204772949
"61",17.8939990997314,19.5,17.7000007629395,19.3680000305176,2483715,17.6417198181152
