"Date","Temperature"
"2022-01-01 00:00:00",9.6
"2022-01-02 00:00:00",9.7
"2022-01-03 00:00:00",11.1
"2022-01-04 00:00:00",11.4
"2022-01-05 00:00:00",4.6
"2022-01-06 00:00:00",0.8
"2022-01-07 00:00:00",4.4
"2022-01-08 00:00:00",4.7
"2022-01-09 00:00:00",6.5
"2022-01-10 00:00:00",2.4
"2022-01-11 00:00:00",0
"2022-01-12 00:00:00",-1.3
"2022-01-13 00:00:00",2.8
"2022-01-14 00:00:00",-0.9
"2022-01-15 00:00:00",-1
"2022-01-16 00:00:00",1.5
"2022-01-17 00:00:00",4.4
"2022-01-18 00:00:00",0.3
"2022-01-19 00:00:00",0.4
"2022-01-20 00:00:00",6.1
"2022-01-21 00:00:00",0.9
"2022-01-22 00:00:00",1.6
"2022-01-23 00:00:00",4.4
"2022-01-24 00:00:00",1.7
"2022-01-25 00:00:00",-2
"2022-01-26 00:00:00",0.5
"2022-01-27 00:00:00",0.9
"2022-01-28 00:00:00",7.3
"2022-01-29 00:00:00",6.6
"2022-01-30 00:00:00",9.6
"2022-01-31 00:00:00",6.5
"2022-02-01 00:00:00",2
"2022-02-02 00:00:00",10
"2022-02-03 00:00:00",7.5
"2022-02-04 00:00:00",7.3
"2022-02-05 00:00:00",3.4
"2022-02-06 00:00:00",5.8
"2022-02-07 00:00:00",9
"2022-02-08 00:00:00",7.3
"2022-02-09 00:00:00",3.7
"2022-02-10 00:00:00",6.8
"2022-02-11 00:00:00",4.5
"2022-02-12 00:00:00",-0.5
"2022-02-13 00:00:00",1
"2022-02-14 00:00:00",11.5
"2022-02-15 00:00:00",5.1
"2022-02-16 00:00:00",8.8
"2022-02-17 00:00:00",13.1
"2022-02-18 00:00:00",9
"2022-02-19 00:00:00",5.6
"2022-02-20 00:00:00",9.1
"2022-02-21 00:00:00",10.6
"2022-02-22 00:00:00",7.1
"2022-02-23 00:00:00",9.8
"2022-02-24 00:00:00",8.8
"2022-02-25 00:00:00",3.5
"2022-02-26 00:00:00",1.7
"2022-02-27 00:00:00",2.1
"2022-02-28 00:00:00",1.8
"2022-03-01 00:00:00",1.4
"2022-03-02 00:00:00",6.2
"2022-03-03 00:00:00",6
"2022-03-04 00:00:00",8.3
"2022-03-05 00:00:00",7.2
"2022-03-06 00:00:00",3.2
